Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
2682,Country,Helvetian Republic (1798-1803),ch011802,1802-05-25,Constitution ,Verfassung; Liste der Senatoren,,,,,,,,,,332048,,332048,,,239625,92423,,,none,,,,,0,Mandatory Constitutional Referendum,,,,Known as "Constitution of Malmaison" or as "Notable constitution". In contrast to the first constitution of 1798  this new constitution did not provide any instruments of direct democracy anymore. The vote was held according to articles 32 and 107 of the old constitution in town meetings held on April 12  1798. According to the voting decree of May 20  1802  the votes of persons abstaining from voting counted as "implicit/tacit yes" (and this for a good reason  as otherwise the constitution would have been rejected). Votes were cast openly by recording in the voting register of the town meetings. Therefore the result showed no empty nor invalid votes. See table for the detailed results per canton.,"State organisation | Political system | Constitution",100,332048,72.17,27.83,yes,no
2683,Country,France (1792-1804),fr011802,1802-05-00,Napoleon for Consul for life,,,,,,,,,,,,,3577259,,,3568885,8374,,,none,,,,,,Plebiscite  ad hoc,,,,On 18th Floreal X (18 May 1802) the Senate proposed Napoleon's early re-election  whereby he would remain Consul until 1819. But Napoleon was dissatisfied and therefore after deliberations with the National Council  second Consul Cambacérès enforced - unauthorized - an unconstitutional popular vote on Napoleon's Consulate for life. The Tribunal and the Corps législatif submitted to the vote on 24th Floreal.      Ballot question:   'Napoléon Bonaparte sera-t-il consul à vie?'  The Senate accepted the result on 14th Thermidor X (2 August 1802) and enacted a decree (sénatus-consulte):  1. Le peuple française nomme et le Sénat proclame Napoléon Bonaparte Premier consul à vie. 2. Une statue de Paix  tenant d'une main le laurier de la Victoire et de l'autre le décret du Sénat  attestera à la posteriorité la reconnaissance de la Nation. 3. Le Sénat portera au premier consul l'expression de la confidence  de l'amour et de l'admiration du peuple français.  On 16th Thermidor and without discussion the Senate enacted a 'sénatus-consulte organique de la constitution' which was equally unconstitutional:      The first Consul can appoint his successor  ratifies resolutions on war and peace and appoints the Conseil privé.     He appoints 40 Senators  who by cooptation complement themselves according to the proposals of the first Consul.     The second and third Consuls are elected for life equally.     The second Consul becomes the President of the Senate     The Senate can dissolve the Tribunal and the Corps législatif and invalidate judgements of the courts.     The size of the Tribunal is reduced to 50 members. ,"State organisation | Institutions | Government, administration",0,3577259,99.77,0.23,yes,
2684,Country,Batavian Republic,nl011801,1801-10-06,Constitution,Verfassung,,,,,,,,,,416419,,416419,,,364200,52219,,,none,,,,,,Presidential Plebiscite  ad hoc,,,, After the coup of 18 Brumaire  Napoleon was dissatisfied with the dragging concentration of troops by the Batavian Republic and aspired to a constitution with more executive competences. As of March a new constitutional draft was submitted to the parliament  which however did not want to adopt it. On 14 September the directorate enacted a decree by 3:2 votes which provided for a submission of the constitutional draft to the people. The consequent vote was openly held from 1 until 6 October by signature in the voting registers of the town meetings  so that no empty or invalid votes were possible. Excluded from suffrage were domestic servants  people dependent on social welfare  not working citizens  bankrupt citizens etc. The votes of those people who did not cast a vote  were counted as yes (as was the case in the Helvetic Republic of 1802)  with good reason since the submittal would have been rejected otherwise. In reality  of the announced 364 200 'yes' votes only 16 771 were explicit 'yes' votes and 347 429 votes (i.e. not cast votes) were counted as 'implicit yes' votes. The result was announced on 16 October and immediatly brought into effect.      Main issues of the constitution consisting of 106 articles:                Directorate with 12 seats         Parliament (Wetgeving Lighaam) with 35 seats         A legislative submittal of the government can only be adopted or rejected by parliament but not amended         No right to vote for domestic servants  destitute and not working citizens  bankrupt citizens etc.         No reglementations concerning constitutional revision  no mandatory constitutional referendum         Government enlarges itself from 5 to 12 seats         For the first time the old government elects all 35 members of parliament       ,"State organisation | Political system | Constitution",100,416419,87.46,12.54,yes,
2685,Country,France (1792-1804),fr011800,1800-01-01,Consulate Constitution,,,,,,,,,,,,,3012569,,,3011007,1562,,,none,,,,,,Plebiscite  ad hoc,,,,After the coup d'état on 18th Brumaire VIII (9 November 1799) Napoleon coerced the parliament to depose the directorate in order to instate him as provisional Consul next to Siéyès and Ducos. By decree Napoleon enacted a new constitution on 22nd Frimaire VIII (13 December 1799) which became effective on 4th Nivôse VIII (25 December 1799). Therefore the vote was held post factum by inscription into open registers so that empty and invalid votes could be avoided.      Main issues:       'La constitution nomme comme premier Consul le citoyen Bonaparte [...]  second Consul le citoyen Cambacérès [...]  et troisième Consul le citoyen Lebrun.' (article 39)     The Consuls are elected by Senate for 10 years whereas the first Consuls are named in the Constitution.     The first Consul holds all executive rights  appoints ministers  ambassardors  officers and judges whereas the other two have advisory votes.     The Senate (Sénat conservateur) consists of 80 members over 40 years of age and appointed for life; By Cooptation the Senate complements itself.     Tribunal with 100 members elected by Senate for 5 years     Corps législatif with 300 members elected by lists     Only the Conseil d'État has the right to legislative initative     Universal male suffrage over 21 years of age  three step electoral body (communal lists  departmental lists and national lists) without census     No guarantee of fundamental rights anymore     'La Constitution est offerte de suite à l' acceptation du peuple français.' (article 95)   By decrees issued the following day open registers where the voters inscribed themselves have been established in all offices. Therefore the vote was not secret and empty and invalid votes could be avoided. Napoleon put the constitution into force on 4th Nivôse VIII (25 December 1799)  even before the final result has been announced on 18th Pluviôse VIII (7 February 1800). The results were massively counterfeit.      The ministry of the interior announced 2 211 037 yes and 1 467 no votes. In fact there were about 900 000 less     The ministry of justice announced 243 909 yes and 105 no votes  what might be the case     The ministry of the navy announced 56 996 yes and 0 no votes  whereas about 20 000 votes have been added.     The ministry of war announced about 500 000 yes which were not even existing. The constitution has merely been proclaimed to the army  without having opened registers. ,"State organisation | Political system | Constitution",0,3012569,99.95,0.05,yes,
2686,Country,,it011798,1798-10-30,,Verfassung,,,,,,,,,,Not known,,Not known,,,Not known,Not known,,,none,,,,,0,,,,,,"",0,Not known,0,0,yes,no
2687,Country,Batavian Republic,nl011798,1798-04-23,Constitution,,,,,,,,,,,400000,Not known,Not known,,Not known,153913,11597,,,none,,,,,,Mandatory Constitutional Referendum,,,,The second National Assembly has been elected on 1 August 1797 and met for its constitutive session on 1 September  therefore even before the rejection of the 1797 constitutional draft. Again the federalists prevail over the unitarists with a thin majority. A new commission of 21 members began to elaborate a new constitutional draft. On 22 January 1789 the unitarians revolted and arrested the commission. The remaining delegates had to swear an oath on a unitarian constitution or leave the parliament. A new commission with 7 members submitted a new constitutional draft on 6 March  which was adopted by the National Assembly on 23 March. The subsequent popular vote was held openly by signature in the voting registers of the town meetings  so that there were no empty or invalid votes. Excluded from vote were those citizens who had not shown up in the previous referendum  those who were 'publicily known as being against the present state of affaires'  domestic servants  destitute and not working  and bankrupt citizens etc. The result was announced on 2 May  whereupon the National Assembly brought the constitution into force on the same day.      Main issues of the new constitution with 308 articles:                General male suffrage with 20 years of age  right to be elected with 30 years of age         Excluded from suffrage are domestic servants  destitute and not working citizens and bankrupt citizens etc.         Bicameral parliament (Eerste Kamer  Tweede Kamer)         Directorate (Uitvoerend Bewind) with 5 seats and vast powers         Constitutional revision only as of 1803         Mandatory constitutional referendum      ,"State organisation | Political system | Constitution",0,165510,92.99,7.01,yes,
2688,Country,Helvetian Republic (1798-1803),ch011798,1798-04-12,Constitution (annexation by France and introduction of a unitary system),Verfassung,,,,,,,,,,,,Not known,,,Not known,Not known,,,none,,,,,,Plebiscite  ad hoc,,,,As voting on the Constitution took place over several months  the main date is considered to be the proclamation date in Aarau. Obligatory consitutional referendum (as per articles 32 and 107)  after two deliberations in the Senate five years apart (!)  then votes in the cantonal Parliament and primary assemblies. It drew on the 1795 Consitution (year III). The vote took place openly in the constituent assemblies and  in some places  in the regional assemblies under the old order. Differences to the present national territory:      Rottweil joined the German Federation;     Mülhausen joined France  following a referendum on 4 January 1798;     The bishopric of Basel (North & South Jura  Laufental  Catholic Unterbaselbiet) founded the Republic of Raurach on 27 November 1792 and elected a National Assembly on 18 January that opted for independence by 75:38 on 7 March. Basel  together with Biel  nevertheless became part of France as Dept. Mont Terrible;     Following mediation  Fricktal joined the newly formed canton Aargau in 1803;     Wallis remained an independent republic from 1802-10  then became part of the Dept. Simplon (France) from 1810-15;     Geneva joined France after a referendum on 15 April 1798  but became a Swiss canton again in 1815;     Neuchàtel  its status as a prussian Republic unchallenged by the Helvetic Republic  joined France from 1806-15 following the defeat of the German Federation;     Veltlin  once part of Graubünden  joined the Cisapline Republic on 10 October 1797. ,"State organisation | Political system | Constitution",0,,0,0,yes,
2689,Country,,it041797,1797-12-02,,Verfassung,,,,,,,,,,Not known,,Not known,,,115890,1192,,,none,,,,,0,,,,,,"",0,117082,98.98,1.02,yes,no
2690,Country,Batavian Republic,nl011797,1797-08-08,Constitution,,,,,,,,,,,400000,Not known,Not known,,Not known,27955,108761,,,none,,,,,,Mandatory Constitutional Referendum,,,,End of 1795 the Dutch States-General enacted a reglementation declaring themselves National Assembly. A commission of 21 members has been established according to articles 102 - 109 with the mandate to elaborate a new constitution and to submit it to popular vote according to articles 144 - 147. In case of rejection  new elections had to take place within 3 months. A first constitutional draft has been cancelled from the agenda on 29 November 1796. The federalists prevailed over the unitarians; therefore all previous 8 provinces survived. The National Assembly received the draft on 30 May and adopted it on 2 June. The vote was held openly by signature in the voting register during the town meetings  so that there were no invalid or empty votes. The final result was announced on 13 September. With French support  the unitarians made a no-propaganda intending a French-style unitary constitution with departments.      Main issues of the Constitution with 918 articles:       General mail suffrage with 20 years of age     Bicameral parliament     Directorate with 5 seats     Old provinces remain     Independent courts  audit courts     5 year regidity for constitutional revisions     Constitutional initiative with 25 000 signatures  mandatory constitutional referendum ,"State organisation | Political system | Constitution",0,136716,20.45,79.55,no,
2691,Country,,it021797,1797-07-00,,Anschluss an die Cisalpinische Republik,,,,,,,,,,Not known,,Not known,,,Not known,Not known,,,none,,,,,0,,,,,,"",0,Not known,0,0,yes,no
2692,Country,,it011797,1797-03-19,,Verfassung,,,,,,,,,,Not known,,Not known,,,76382,14259,,,none,,,,,0,,,,,,"",0,90641,84.27,15.73,yes,no
